100 20 0.9
1 11 12 31.49
1 12 13 24.02
1 13 14 22.06
1 14 15 17.07
1 15 16 27.59
1 16 17 29.87
1 17 18 24.31
1 18 19 20.30
1 19 20 20.95
1 20 21 20.58
1 21 22 15.43
1 22 23 17.58
1 23 24 22.35
1 24 25 15.30
1 25 26 16.86
1 26 27 17.24
1 27 28 18.67
1 28 29 25.83
1 29 30 31.15
1 30 31 33.21
1 31 32 23.06
1 32 33 25.71
1 33 34 17.58
1 34 35 17.87
1 35 36 23.48
1 36 37 18.72
1 37 38 17.01
1 38 39 25.89
1 39 40 20.16
1 40 41 20.87
1 41 42 15.83
1 42 43 27.51
1 43 44 26.72
1 44 45 21.51
1 45 46 30.70
1 46 47 21.29
1 47 48 27.36
1 48 49 19.84
1 49 50 20.56
1 50 51 15.86
1 51 52 16.01
1 52 53 22.79
1 53 54 22.94
1 54 55 24.52
1 55 56 19.87
1 56 57 33.15
1 57 58 34.89
1 58 59 23.34
1 59 60 18.13
1 60 61 32.71
1 61 62 22.96
1 62 63 25.13
1 63 64 28.53
1 64 65 15.69
1 65 66 21.05
1 66 67 25.61
1 67 68 33.10
1 68 69 24.83
1 69 70 16.59
1 70 71 19.16
1 71 72 20.27
1 72 73 22.35
1 73 74 26.24
1 74 75 19.06
1 75 76 21.05
1 76 77 31.25
1 77 78 18.71
1 78 79 21.86
1 79 80 26.91
1 80 81 30.59
1 81 82 30.92
1 82 83 19.20
1 83 84 21.02
1 84 85 17.56
1 85 86 16.60
1 86 87 16.14
1 87 88 20.08
1 88 89 21.00
1 89 90 20.34
1 90 91 24.28
1 91 92 21.16
1 92 93 24.17
1 93 94 17.57
1 94 95 15.30
1 95 96 24.38
1 96 97 15.40
1 97 98 23.81
1 98 99 16.27
1 99 100 23.38
1 1 3 35.00
1 2 4 23.93
1 3 5 32.63
1 4 6 29.98
1 5 7 30.97
1 6 8 25.91
1 7 9 27.78
1 8 10 30.79
1 9 11 35.32
1 10 12 33.93
1 11 13 34.05
1 12 14 32.89
1 13 15 26.74
1 14 16 28.89
1 15 17 30.33
1 16 18 30.70
1 17 19 33.72
1 18 20 23.06
1 19 21 21.16
1 20 22 22.11
1 21 23 18.83
1 22 24 26.09
1 23 25 22.89
1 24 26 20.03
1 25 27 21.30
1 26 28 29.28
1 27 29 28.71
1 28 30 41.14
1 29 31 41.13
1 30 32 34.70
1 31 33 34.04
1 32 34 26.33
1 33 35 19.04
1 34 36 24.10
1 35 37 29.73
1 36 38 29.64
1 37 39 33.88
1 38 40 27.62
1 39 41 25.62
1 40 42 21.04
1 41 43 34.68
1 42 44 33.09
1 43 45 28.05
1 44 46 33.07
1 45 47 37.69
1 46 48 30.85
1 47 49 32.36
1 48 50 20.81
1 49 51 28.98
1 50 52 17.47
1 51 53 25.05
1 52 54 32.41
1 53 55 32.95
1 54 56 33.26
1 55 57 36.33
1 56 58 35.59
1 57 59 35.30
1 58 60 32.93
1 59 61 34.29
1 60 62 34.68
1 61 63 26.40
1 62 64 36.07
1 63 65 29.09
1 64 66 27.43
1 65 67 38.02
1 66 68 38.64
1 67 69 33.64
1 68 70 25.65
1 69 71 19.93
1 70 72 29.68
1 71 73 33.87
1 72 74 33.57
1 73 75 26.82
1 74 76 29.92
1 75 77 31.30
1 76 78 32.68
1 77 79 23.72
1 78 80 33.17
1 79 81 41.44
1 80 82 44.55
1 81 83 33.47
1 82 84 24.25
1 83 85 24.91
1 84 86 20.63
1 85 87 23.46
1 86 88 22.47
1 87 89 25.29
1 88 90 26.25
1 89 91 25.65
1 90 92 35.24
1 91 93 29.30
1 92 94 25.13
1 93 95 23.03
1 94 96 24.44
1 95 97 26.16
1 96 98 25.10
1 97 99 26.53
1 98 100 28.40
1 1 4 40.37
1 2 5 36.45
1 3 6 40.50
1 4 7 38.33
1 5 8 31.10
1 6 9 29.07
1 7 10 34.08
1 8 11 42.78
1 9 12 43.81
1 10 13 38.24
1 11 14 36.12
1 12 15 35.56
1 13 16 29.05
1 14 17 30.64
1 15 18 30.84
1 16 19 34.13
1 17 20 36.73
1 18 21 25.93
1 19 22 25.39
1 20 23 24.73
1 21 24 27.66
1 22 25 28.38
1 23 26 25.38
1 24 27 25.38
1 25 28 32.32
1 26 29 39.39
1 27 30 45.83
1 28 31 42.31
1 29 32 46.88
1 30 33 42.15
1 31 34 38.88
1 32 35 30.21
1 33 36 35.02
1 34 37 32.13
1 35 38 37.61
1 36 39 36.48
1 37 40 34.10
1 38 41 36.57
1 39 42 35.57
1 40 43 36.97
1 41 44 35.10
1 42 45 39.99
1 43 46 33.16
1 44 47 39.35
1 45 48 43.43
1 46 49 34.34
1 47 50 38.05
1 48 51 30.42
1 49 52 34.11
1 50 53 31.96
1 51 54 33.50
1 52 55 35.33
1 53 56 35.28
1 54 57 49.27
1 55 58 40.26
1 56 59 44.38
1 57 60 46.28
1 58 61 39.79
1 59 62 36.77
1 60 63 34.96
1 61 64 38.79
1 62 65 40.72
1 63 66 44.55
1 64 67 40.52
1 65 68 44.02
1 66 69 46.39
1 67 70 41.09
1 68 71 25.89
1 69 72 34.43
1 70 73 37.09
1 71 74 35.11
1 72 75 38.23
1 73 76 32.21
1 74 77 37.91
1 75 78 35.29
1 76 79 34.19
1 77 80 35.24
1 78 81 42.88
1 79 82 51.07
1 80 83 45.26
1 81 84 37.67
1 82 85 35.55
1 83 86 29.64
1 84 87 31.52
1 85 88 31.77
1 86 89 27.92
1 87 90 27.06
1 88 91 38.99
1 89 92 35.44
1 90 93 39.21
1 91 94 37.42
1 92 95 37.09
1 93 96 34.72
1 94 97 29.74
1 95 98 30.07
1 96 99 28.31
1 97 100 30.62
1 1 5 42.09
1 2 6 46.63
1 3 7 49.10
1 4 8 39.16
1 5 9 37.99
1 6 10 34.69
1 7 11 48.91
1 8 12 49.19
1 9 13 50.65
1 10 14 45.97
1 11 15 42.13
1 12 16 43.34
1 13 17 41.19
1 14 18 31.71
1 15 19 41.39
1 16 20 39.80
1 17 21 40.80
1 18 22 34.54
1 19 23 34.96
1 20 24 33.16
1 21 25 30.22
1 22 26 31.48
1 23 27 35.12
1 24 28 36.26
1 25 29 42.53
1 26 30 46.55
1 27 31 49.95
1 28 32 53.50
1 29 33 55.37
1 30 34 45.45
1 31 35 39.67
1 32 36 47.03
1 33 37 35.85
1 34 38 39.61
1 35 39 41.84
1 36 40 42.82
1 37 41 38.02
1 38 42 38.54
1 39 43 53.06
1 40 44 38.39
1 41 45 40.71
1 42 46 40.32
1 43 47 41.88
1 44 48 46.87
1 45 49 48.92
1 46 50 39.84
1 47 51 43.58
1 48 52 35.24
1 49 53 39.11
1 50 54 39.07
1 51 55 41.74
1 52 56 43.61
1 53 57 51.38
1 54 58 52.71
1 55 59 50.38
1 56 60 47.67
1 57 61 52.65
1 58 62 49.52
1 59 63 39.69
1 60 64 41.55
1 61 65 41.00
1 62 66 45.60
1 63 67 50.47
1 64 68 50.84
1 65 69 51.47
1 66 70 50.44
1 67 71 41.44
1 68 72 36.48
1 69 73 38.43
1 70 74 40.90
1 71 75 39.85
1 72 76 44.21
1 73 77 40.14
1 74 78 47.01
1 75 79 43.97
1 76 80 38.29
1 77 81 48.02
1 78 82 58.36
1 79 83 55.86
1 80 84 46.57
1 81 85 40.54
1 82 86 37.64
1 83 87 33.73
1 84 88 34.10
1 85 89 35.24
1 86 90 41.57
1 87 91 44.51
1 88 92 40.58
1 89 93 40.14
1 90 94 43.33
1 91 95 43.67
1 92 96 40.54
1 93 97 35.62
1 94 98 35.69
1 95 99 38.08
1 96 100 36.28
1 1 6 53.27
1 2 7 50.86
1 3 8 50.52
1 4 9 43.42
1 5 10 42.00
1 6 11 50.41
1 7 12 57.37
1 8 13 58.81
1 9 14 55.27
1 10 15 47.73
1 11 16 53.71
1 12 17 46.42
1 13 18 42.06
1 14 19 45.35
1 15 20 51.37
1 16 21 48.45
1 17 22 48.31
1 18 23 39.66
1 19 24 40.95
1 20 25 38.79
1 21 26 33.48
1 22 27 36.32
1 23 28 36.92
1 24 29 44.22
1 25 30 46.67
1 26 31 58.34
1 27 32 58.05
1 28 33 65.11
1 29 34 59.61
1 30 35 53.60
1 31 36 51.30
1 32 37 48.36
1 33 38 43.65
1 34 39 50.29
1 35 40 43.80
1 36 41 50.13
1 37 42 41.48
1 38 43 53.47
1 39 44 54.52
1 40 45 43.19
1 41 46 48.66
1 42 47 50.39
1 43 48 48.84
1 44 49 49.93
1 45 50 53.26
1 46 51 46.88
1 47 52 46.63
1 48 53 41.77
1 49 54 40.86
1 50 55 49.45
1 51 56 43.80
1 52 57 51.40
1 53 58 53.30
1 54 59 52.93
1 55 60 57.61
1 56 61 52.80
1 57 62 60.31
1 58 63 53.16
1 59 64 47.24
1 60 65 41.78
1 61 66 53.71
1 62 67 60.05
1 63 68 57.85
1 64 69 52.74
1 65 70 53.00
1 66 71 51.49
1 67 72 42.92
1 68 73 40.43
1 69 74 43.05
1 70 75 41.08
1 71 76 51.95
1 72 77 54.68
1 73 78 47.97
1 74 79 51.16
1 75 80 49.08
1 76 81 55.32
1 77 82 61.26
1 78 83 61.23
1 79 84 59.77
1 80 85 52.64
1 81 86 46.05
1 82 87 39.29
1 83 88 43.48
1 84 89 43.25
1 85 90 42.13
1 86 91 47.87
1 87 92 45.06
1 88 93 49.87
1 89 94 47.55
1 90 95 53.29
1 91 96 52.24
1 92 97 47.29
1 93 98 43.18
1 94 99 41.00
1 95 100 42.45
1 1 7 58.22
1 2 8 53.02
1 3 9 54.05
1 4 10 43.53
1 5 11 54.71
1 6 12 62.61
1 7 13 63.07
1 8 14 63.20
1 9 15 58.04
1 10 16 60.98
1 11 17 61.15
1 12 18 50.70
1 13 19 47.52
1 14 20 52.03
1 15 21 51.40
1 16 22 54.52
1 17 23 53.92
1 18 24 41.02
1 19 25 47.22
1 20 26 41.25
1 21 27 36.95
1 22 28 41.25
1 23 29 45.42
1 24 30 52.42
1 25 31 60.76
1 26 32 62.31
1 27 33 66.59
1 28 34 65.83
1 29 35 60.95
1 30 36 55.42
1 31 37 52.62
1 32 38 50.62
1 33 39 52.44
1 34 40 56.53
1 35 41 51.98
1 36 42 50.43
1 37 43 53.59
1 38 44 59.06
1 39 45 56.43
1 40 46 51.06
1 41 47 50.94
1 42 48 57.98
1 43 49 59.84
1 44 50 57.67
1 45 51 53.81
1 46 52 48.56
1 47 53 48.80
1 48 54 48.16
1 49 55 49.55
1 50 56 52.71
1 51 57 62.34
1 52 58 61.87
1 53 59 66.51
1 54 60 64.33
1 55 61 59.93
1 56 62 64.36
1 57 63 69.42
1 58 64 54.09
1 59 65 49.79
1 60 66 59.17
1 61 67 62.15
1 62 68 66.96
1 63 69 66.03
1 64 70 54.77
1 65 71 54.30
1 66 72 55.67
1 67 73 56.45
1 68 74 52.16
1 69 75 49.70
1 70 76 53.59
1 71 77 57.86
1 72 78 61.58
1 73 79 54.89
1 74 80 55.81
1 75 81 64.90
1 76 82 66.03
1 77 83 64.66
1 78 84 66.33
1 79 85 62.96
1 80 86 57.89
1 81 87 53.82
1 82 88 45.00
1 83 89 46.93
1 84 90 45.43
1 85 91 49.85
1 86 92 48.43
1 87 93 50.79
1 88 94 51.74
1 89 95 54.85
1 90 96 57.30
1 91 97 55.45
1 92 98 47.42
1 93 99 51.17
1 94 100 43.00
1 1 8 65.44
1 2 9 59.18
1 3 10 55.07
1 4 11 55.50
1 5 12 67.34
1 6 13 66.07
1 7 14 68.00
1 8 15 66.50
1 9 16 67.06
1 10 17 67.46
1 11 18 63.29
1 12 19 57.14
1 13 20 52.44
1 14 21 52.48
1 15 22 55.24
1 16 23 57.19
1 17 24 54.18
1 18 25 50.40
1 19 26 47.68
1 20 27 43.36
1 21 28 49.46
1 22 29 47.56
1 23 30 63.11
1 24 31 66.26
1 25 32 64.01
1 26 33 70.52
1 27 34 71.32
1 28 35 65.88
1 29 36 61.71
1 30 37 61.11
1 31 38 57.84
1 32 39 53.03
1 33 40 59.28
1 34 41 58.76
1 35 42 55.06
1 36 43 60.65
1 37 44 62.25
1 38 45 62.90
1 39 46 59.79
1 40 47 60.74
1 41 48 58.49
1 42 49 61.17
1 43 50 60.40
1 44 51 62.23
1 45 52 63.58
1 46 53 56.53
1 47 54 59.09
1 48 55 53.04
1 49 56 52.74
1 50 57 63.42
1 51 58 63.96
1 52 59 73.62
1 53 60 67.94
1 54 61 68.81
1 55 62 68.73
1 56 63 72.16
1 57 64 71.11
1 58 65 54.78
1 59 66 65.97
1 60 67 63.24
1 61 68 73.58
1 62 69 72.23
1 63 70 67.97
1 64 71 62.78
1 65 72 59.17
1 66 73 58.88
1 67 74 61.82
1 68 75 53.70
1 69 76 63.80
1 70 77 64.10
1 71 78 64.29
1 72 79 63.49
1 73 80 60.97
1 74 81 66.16
1 75 82 73.00
1 76 83 70.71
1 77 84 67.23
1 78 85 67.57
1 79 86 65.02
1 80 87 62.67
1 81 88 57.70
1 82 89 48.91
1 83 90 53.58
1 84 91 53.47
1 85 92 60.01
1 86 93 54.46
1 87 94 61.14
1 88 95 60.36
1 89 96 59.42
1 90 97 58.40
1 91 98 60.94
1 92 99 56.84
1 93 100 53.54
1 1 9 68.27
1 2 10 61.31
1 3 11 62.40
1 4 12 69.12
1 5 13 71.47
1 6 14 68.15
1 7 15 71.67
1 8 16 69.59
1 9 17 70.47
1 10 18 68.46
1 11 19 74.97
1 12 20 63.59
1 13 21 55.96
1 14 22 56.96
1 15 23 64.19
1 16 24 63.87
1 17 25 57.20
1 18 26 53.59
1 19 27 50.54
1 20 28 52.36
1 21 29 49.67
1 22 30 65.40
1 23 31 72.98
1 24 32 73.82
1 25 33 76.84
1 26 34 76.73
1 27 35 74.55
1 28 36 75.00
1 29 37 65.37
1 30 38 70.08
1 31 39 63.22
1 32 40 62.39
1 33 41 65.48
1 34 42 64.78
1 35 43 72.71
1 36 44 74.01
1 37 45 64.34
1 38 46 70.17
1 39 47 61.60
1 40 48 66.37
1 41 49 70.26
1 42 50 69.75
1 43 51 71.52
1 44 52 66.26
1 45 53 69.94
1 46 54 68.73
1 47 55 61.68
1 48 56 55.71
1 49 57 64.98
1 50 58 70.28
1 51 59 74.13
1 52 60 76.13
1 53 61 77.24
1 54 62 75.34
1 55 63 75.61
1 56 64 82.30
1 57 65 72.29
1 58 66 68.57
1 59 67 73.30
1 60 68 76.95
1 61 69 78.12
1 62 70 79.23
1 63 71 70.96
1 64 72 65.00
1 65 73 60.70
1 66 74 66.05
1 67 75 67.15
1 68 76 68.28
1 69 77 67.05
1 70 78 70.11
1 71 79 73.49
1 72 80 70.30
1 73 81 73.42
1 74 82 78.91
1 75 83 76.61
1 76 84 75.29
1 77 85 71.30
1 78 86 78.47
1 79 87 68.35
1 80 88 63.22
1 81 89 65.12
1 82 90 55.24
1 83 91 66.69
1 84 92 62.08
1 85 93 63.88
1 86 94 65.99
1 87 95 65.97
1 88 96 61.26
1 89 97 63.79
1 90 98 67.81
1 91 99 69.97
1 92 100 60.76
1 1 10 69.96
1 2 11 66.97
1 3 12 78.98
1 4 13 76.29
1 5 14 75.60
1 6 15 74.29
1 7 16 77.22
1 8 17 72.96
1 9 18 71.68
1 10 19 77.05
1 11 20 80.92
1 12 21 66.81
1 13 22 66.20
1 14 23 64.74
1 15 24 64.38
1 16 25 64.64
1 17 26 63.10
1 18 27 58.05
1 19 28 56.37
1 20 29 57.84
1 21 30 66.92
1 22 31 75.80
1 23 32 76.79
1 24 33 77.79
1 25 34 78.14
1 26 35 79.54
1 27 36 78.56
1 28 37 82.16
1 29 38 72.79
1 30 39 75.02
1 31 40 72.42
1 32 41 66.10
1 33 42 67.97
1 34 43 77.49
1 35 44 78.66
1 36 45 75.01
1 37 46 70.65
1 38 47 71.96
1 39 48 70.91
1 40 49 74.35
1 41 50 70.31
1 42 51 77.03
1 43 52 75.34
1 44 53 77.11
1 45 54 74.03
1 46 55 69.29
1 47 56 63.90
1 48 57 65.03
1 49 58 74.99
1 50 59 82.44
1 51 60 77.34
1 52 61 79.43
1 53 62 77.70
1 54 63 78.69
1 55 64 83.89
1 56 65 83.39
1 57 66 74.23
1 58 67 76.89
1 59 68 83.85
1 60 69 83.45
1 61 70 79.79
1 62 71 80.53
1 63 72 76.70
1 64 73 67.55
1 65 74 66.54
1 66 75 71.91
1 67 76 72.37
1 68 77 70.48
1 69 78 75.48
1 70 79 74.84
1 71 80 75.43
1 72 81 84.97
1 73 82 87.25
1 74 83 82.82
1 75 84 77.64
1 76 85 75.36
1 77 86 81.00
1 78 87 79.39
1 79 88 79.69
1 80 89 68.96
1 81 90 72.03
1 82 91 70.35
1 83 92 71.04
1 84 93 65.25
1 85 94 73.01
1 86 95 67.00
1 87 96 66.44
1 88 97 71.40
1 89 98 69.23
1 90 99 70.85
1 91 100 70.25
1 1 11 71.73
1 2 12 86.24
1 3 13 86.06
1 4 14 79.50
1 5 15 83.78
1 6 16 80.35
1 7 17 81.71
1 8 18 81.80
1 9 19 81.76
1 10 20 84.59
1 11 21 81.36
1 12 22 72.11
1 13 23 69.53
1 14 24 71.57
1 15 25 68.86
1 16 26 64.68
1 17 27 63.46
1 18 28 64.98
1 19 29 65.94
1 20 30 69.78
1 21 31 78.49
1 22 32 81.52
1 23 33 79.09
1 24 34 84.42
1 25 35 79.97
1 26 36 81.51
1 27 37 83.83
1 28 38 85.34
1 29 39 76.03
1 30 40 79.45
1 31 41 73.76
1 32 42 73.62
1 33 43 79.14
1 34 44 81.02
1 35 45 81.89
1 36 46 80.54
1 37 47 78.36
1 38 48 78.00
1 39 49 79.58
1 40 50 74.90
1 41 51 77.08
1 42 52 78.11
1 43 53 78.06
1 44 54 81.84
1 45 55 82.27
1 46 56 75.09
1 47 57 69.10
1 48 58 76.06
1 49 59 84.84
1 50 60 84.41
1 51 61 82.51
1 52 62 84.39
1 53 63 81.42
1 54 64 86.65
1 55 65 83.90
1 56 66 84.42
1 57 67 77.45
1 58 68 89.86
1 59 69 84.15
1 60 70 86.55
1 61 71 80.72
1 62 72 80.78
1 63 73 83.12
1 64 74 70.23
1 65 75 76.93
1 66 76 77.19
1 67 77 73.74
1 68 78 80.12
1 69 79 78.68
1 70 80 75.67
1 71 81 88.58
1 72 82 94.49
1 73 83 92.31
1 74 84 85.43
1 75 85 88.97
1 76 86 82.34
1 77 87 83.86
1 78 88 81.21
1 79 89 83.51
1 80 90 76.34
1 81 91 75.26
1 82 92 72.70
1 83 93 78.41
1 84 94 74.17
1 85 95 74.17
1 86 96 75.28
1 87 97 76.76
1 88 98 74.75
1 89 99 73.46
1 90 100 71.66
1 1 12 89.53
1 2 13 88.66
1 3 14 88.57
1 4 15 84.83
1 5 16 87.36
1 6 17 87.61
1 7 18 85.45
1 8 19 89.32
1 9 20 91.07
1 10 21 86.21
1 11 22 84.25
1 12 23 81.76
1 13 24 72.18
1 14 25 74.89
1 15 26 73.82
1 16 27 66.61
1 17 28 70.51
1 18 29 72.42
1 19 30 79.61
1 20 31 83.50
1 21 32 83.66
1 22 33 83.05
1 23 34 89.60
1 24 35 90.84
1 25 36 83.44
1 26 37 84.20
1 27 38 88.20
1 28 39 91.54
1 29 40 83.35
1 30 41 83.39
1 31 42 81.47
1 32 43 85.95
1 33 44 81.92
1 34 45 88.25
1 35 46 84.15
1 36 47 82.49
1 37 48 86.34
1 38 49 89.91
1 39 50 81.57
1 40 51 84.77
1 41 52 85.15
1 42 53 78.21
1 43 54 89.66
1 44 55 86.81
1 45 56 84.71
1 46 57 79.55
1 47 58 86.49
1 48 59 85.73
1 49 60 86.00
1 50 61 86.58
1 51 62 89.14
1 52 63 90.27
1 53 64 94.03
1 54 65 92.78
1 55 66 85.34
1 56 67 86.77
1 57 68 90.95
1 58 69 100.02
1 59 70 94.44
1 60 71 87.91
1 61 72 90.28
1 62 73 90.91
1 63 74 83.59
1 64 75 81.73
1 65 76 81.91
1 66 77 77.88
1 67 78 83.16
1 68 79 85.25
1 69 80 80.86
1 70 81 91.78
1 71 82 95.78
1 72 83 100.10
1 73 84 92.69
1 74 85 94.10
1 75 86 91.17
1 76 87 88.91
1 77 88 84.72
1 78 89 85.66
1 79 90 84.41
1 80 91 88.18
1 81 92 86.06
1 82 93 80.50
1 83 94 83.53
1 84 95 77.82
1 85 96 76.53
1 86 97 81.86
1 87 98 79.09
1 88 99 78.06
1 89 100 78.84
1 1 13 94.90
1 2 14 91.71
1 3 15 91.01
1 4 16 93.02
1 5 17 100.92
1 6 18 92.48
1 7 19 95.57
1 8 20 92.32
1 9 21 92.61
1 10 22 90.63
1 11 23 88.75
1 12 24 85.46
1 13 25 75.03
1 14 26 76.61
1 15 27 77.97
1 16 28 79.96
1 17 29 72.60
1 18 30 83.47
1 19 31 86.66
1 20 32 88.53
1 21 33 84.04
1 22 34 91.77
1 23 35 93.23
1 24 36 93.96
1 25 37 93.50
1 26 38 92.01
1 27 39 92.91
1 28 40 92.91
1 29 41 89.78
1 30 42 90.29
1 31 43 93.58
1 32 44 87.62
1 33 45 91.75
1 34 46 89.94
1 35 47 88.13
1 36 48 86.68
1 37 49 96.02
1 38 50 91.11
1 39 51 86.52
1 40 52 85.25
1 41 53 87.66
1 42 54 90.61
1 43 55 93.59
1 44 56 87.89
1 45 57 95.25
1 46 58 95.05
1 47 59 88.31
1 48 60 90.80
1 49 61 94.22
1 50 62 90.96
1 51 63 97.06
1 52 64 96.65
1 53 65 96.73
1 54 66 94.15
1 55 67 96.82
1 56 68 92.01
1 57 69 101.66
1 58 70 101.96
1 59 71 97.56
1 60 72 90.33
1 61 73 92.14
1 62 74 92.08
1 63 75 96.10
1 64 76 88.94
1 65 77 82.33
1 66 78 89.31
1 67 79 94.48
1 68 80 87.20
1 69 81 95.62
1 70 82 103.93
1 71 83 106.82
1 72 84 106.86
1 73 85 99.82
1 74 86 100.79
1 75 87 100.42
1 76 88 92.42
1 77 89 89.18
1 78 90 86.28
1 79 91 95.38
1 80 92 97.06
1 81 93 90.98
1 82 94 85.44
1 83 95 91.72
1 84 96 81.84
1 85 97 81.97
1 86 98 85.25
1 87 99 85.02
1 88 100 78.84
1 1 14 100.35
1 2 15 98.25
1 3 16 104.34
1 4 17 100.96
1 5 18 102.39
1 6 19 96.13
1 7 20 101.03
1 8 21 96.31
1 9 22 94.86
1 10 23 100.10
1 11 24 93.92
1 12 25 92.78
1 13 26 80.00
1 14 27 78.73
1 15 28 85.50
1 16 29 84.06
1 17 30 86.83
1 18 31 90.58
1 19 32 94.77
1 20 33 93.20
1 21 34 94.09
1 22 35 94.92
1 23 36 96.66
1 24 37 95.12
1 25 38 96.01
1 26 39 95.88
1 27 40 101.54
1 28 41 93.51
1 29 42 92.98
1 30 43 95.87
1 31 44 101.59
1 32 45 96.09
1 33 46 96.13
1 34 47 91.38
1 35 48 93.75
1 36 49 98.89
1 37 50 97.77
1 38 51 93.57
1 39 52 95.77
1 40 53 93.71
1 41 54 94.74
1 42 55 98.57
1 43 56 94.53
1 44 57 97.33
1 45 58 107.11
1 46 59 100.87
1 47 60 100.96
1 48 61 102.65
1 49 62 98.79
1 50 63 98.19
1 51 64 106.18
1 52 65 97.63
1 53 66 105.12
1 54 67 109.62
1 55 68 100.76
1 56 69 102.17
1 57 70 102.35
1 58 71 102.01
1 59 72 101.15
1 60 73 97.37
1 61 74 94.23
1 62 75 100.13
1 63 76 98.43
1 64 77 89.05
1 65 78 98.71
1 66 79 97.08
1 67 80 98.78
1 68 81 99.37
1 69 82 107.20
1 70 83 108.11
1 71 84 108.50
1 72 85 108.60
1 73 86 103.97
1 74 87 105.42
1 75 88 102.89
1 76 89 101.40
1 77 90 89.97
1 78 91 102.47
1 79 92 105.56
1 80 93 100.21
1 81 94 96.01
1 82 95 93.06
1 83 96 91.88
1 84 97 92.92
1 85 98 88.04
1 86 99 91.11
1 87 100 88.89
1 1 15 103.87
1 2 16 110.19
1 3 17 104.55
1 4 18 103.46
1 5 19 109.88
1 6 20 102.56
1 7 21 101.38
1 8 22 102.50
1 9 23 101.22
1 10 24 101.64
1 11 25 94.74
1 12 26 94.17
1 13 27 82.87
1 14 28 87.70
1 15 29 90.82
1 16 30 91.69
1 17 31 102.49
1 18 32 97.89
1 19 33 95.45
1 20 34 99.47
1 21 35 100.62
1 22 36 97.71
1 23 37 96.81
1 24 38 101.65
1 25 39 105.82
1 26 40 105.05
1 27 41 103.97
1 28 42 96.05
1 29 43 104.09
1 30 44 108.95
1 31 45 104.42
1 32 46 103.87
1 33 47 101.37
1 34 48 94.84
1 35 49 100.90
1 36 50 102.10
1 37 51 100.31
1 38 52 102.77
1 39 53 99.22
1 40 54 99.97
1 41 55 99.66
1 42 56 99.12
1 43 57 97.82
1 44 58 109.55
1 45 59 110.14
1 46 60 109.34
1 47 61 105.08
1 48 62 104.29
1 49 63 107.90
1 50 64 107.76
1 51 65 108.85
1 52 66 110.42
1 53 67 110.54
1 54 68 111.44
1 55 69 109.86
1 56 70 103.21
1 57 71 102.90
1 58 72 110.03
1 59 73 107.21
1 60 74 102.51
1 61 75 103.91
1 62 76 108.00
1 63 77 101.96
1 64 78 99.57
1 65 79 103.10
1 66 80 105.62
1 67 81 105.32
1 68 82 115.39
1 69 83 113.07
1 70 84 110.42
1 71 85 112.16
1 72 86 113.30
1 73 87 110.05
1 74 88 108.82
1 75 89 105.15
1 76 90 101.60
1 77 91 102.66
1 78 92 106.38
1 79 93 111.36
1 80 94 105.88
1 81 95 104.82
1 82 96 93.87
1 83 97 96.83
1 84 98 94.57
1 85 99 91.97
1 86 100 92.49
1 1 16 114.84
1 2 17 110.61
1 3 18 106.02
